RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
26,"Al Horford, ATL",22,31.4,0.563,15.9,7.4,21,8.4,17.4,13,21.44,111.6,3.7
27,"Karl-Anthony Towns, MIN",19,27.7,0.564,5.6,13.2,22.1,9.4,27.5,18.7,21.31,84.1,2.8
28,"Brook Lopez, BKN",19,34.5,0.528,7.6,9.2,25.3,8.8,16.8,12.7,21.26,104.2,3.5
,"Dwyane Wade, MIA",17,29.7,0.503,17.1,9.1,30.9,3.8,8.8,6.4,21.26,81.1,2.7
30,"Kenneth Faried, DEN",17,25.8,0.601,8.9,14.2,19.5,13.3,23.8,18.4,20.87,61.2,2
31,"Jimmy Butler, CHI",17,37.2,0.575,14.5,8.4,22.2,3,10.8,7.1,20.82,97.4,3.2
32,"Kevin Love, CLE",20,33.7,0.568,10.7,11.4,23.4,9.3,28.2,18.8,20.67,92.2,3.1
33,"Nikola Vucevic, ORL",17,29.5,0.515,12.2,9.7,23.5,11.8,20,15.8,20.58,74.6,2.5
34,"Carmelo Anthony, NY",20,33.9,0.521,11.9,8.4,28.8,3.9,18.5,11.3,20.46,100.8,3.4
,"Nikola Jokic, DEN",19,16.7,0.591,8.9,12.1,18.7,11.7,21.1,16.3,20.46,46.8,1.6
36,"Kemba Walker, CHA",19,34.4,0.541,21,8.7,23.2,2.3,9.4,5.8,20.18,89.6,3
37,"Manu Ginobili, SA",17,20.6,0.566,22.3,12.3,25,3,13.6,8.6,20.17,50.7,1.7
38,"Al Jefferson, CHA",17,26.2,0.514,11.2,4.5,22.4,5.3,21.1,13.1,20.04,62.8,2.1
39,"Jonas Valanciunas, TOR",14,27.3,0.606,3.4,12.6,18.3,12.5,25.4,19.1,20.02,53.7,1.8
40,"Pau Gasol, CHI",17,29.4,0.471,13,7.1,23.5,7.3,28.4,18.3,19.98,69.9,2.3
41,"Joffrey Lauvergne, DEN",8,17.4,0.553,14.7,5.4,19.5,9.2,27.4,18,19.97,19.4,0.6
42,"Kristaps Porzingis, NY",21,27.7,0.536,6,12,22.4,10,25.7,18,19.84,72.4,2.4
,"Brandon Knight, PHX",20,36.1,0.551,19.1,11,26.3,2.5,11,6.7,19.84,95.1,3.2
44,"Dwight Powell, DAL",20,19.8,0.564,11.7,9.2,18.2,8.9,25.8,17.5,19.83,49.3,1.6
45,"Tony Parker, SA",21,27.4,0.611,28.3,10.5,21.4,1,7.5,4.5,19.64,74.3,2.5
46,"Will Barton, DEN",21,27.3,0.586,12.8,8.8,20.4,2.8,19.9,11.1,19.62,78.2,2.6
47,"Dwight Howard, HOU",15,33.2,0.6,11,17.4,17.3,13.3,28.4,20.7,19.53,66.4,2.2
48,"Ed Davis, POR",21,22.5,0.65,16.2,12.6,12.7,14.4,22.6,18.6,19.52,63,2.1
49,"Tim Duncan, SA",20,27.4,0.573,22.8,13.8,17,8.9,25.7,17.7,19.37,71.7,2.4
50,"Mike Conley, MEM",20,31.9,0.541,27.7,8.3,23.4,1.9,8.5,5,19.32,79.1,2.6
51,"Andrew Bogut, GS",14,19.9,0.679,28.6,13.9,13.1,10.2,24.4,17.7,19.27,36,1.2
52,"Jeff Teague, ATL",19,30.1,0.537,26,11.4,27.1,2.1,7.8,5,19.22,70.2,2.3
53,"DeMar DeRozan, TOR",21,36.3,0.523,15.5,8.8,27.2,2.2,10.6,6.5,19.16,98.6,3.3
54,"Jared Sullinger, BOS",20,25.1,0.503,18.1,9.2,19.3,12.1,27,19.2,19.04,63.1,2.1
55,"Jeremy Lamb, CHA",18,24.4,0.585,10.6,6.8,20.1,2.9,18.5,10.6,18.96,55.4,1.8
56,"John Wall, WSH",17,33.9,0.519,26.5,15,28.5,2.5,10.1,6.2,18.91,68,2.3
57,"Festus Ezeli, GS",21,19.7,0.569,11.6,9.5,16.5,14.2,21.6,18.1,18.89,51.2,1.7
58,"DeAndre Jordan, LAC",20,32.2,0.572,8.7,10,13.3,11.8,32.2,22,18.86,79.2,2.6
59,"T.J. Warren, PHX",19,22.5,0.582,5.7,6.6,19.7,6.5,10.7,8.6,18.82,53.1,1.8
,"Tyler Johnson, MIA",17,21.2,0.642,18.1,10.5,17.2,4.4,8.2,6.4,18.82,44.7,1.5
61,"John Henson, MIL",17,15.2,0.575,9.2,16.9,19.6,15.1,15.6,15.3,18.79,28.2,0.9
62,"Thaddeus Young, BKN",19,31.7,0.526,8.3,9.5,21.2,8.2,21.6,14.7,18.76,65.2,2.2
63,"JJ Hickson, DEN",16,16.5,0.532,11.2,7.7,20.2,6.8,22.9,14.6,18.67,31.8,1.1
64,"Derrick Williams, NY",20,13.1,0.524,7.9,7.3,24.3,4.2,14.6,9.5,18.58,27.7,0.9
65,"Andre Miller, MIN",9,15.3,0.677,37.6,15.8,17.9,3.3,7,5.2,18.44,15.3,0.5
66,"Nicolas Batum, CHA",19,35,0.579,19.9,14.3,22.4,3.5,17,10.2,18.34,77.8,2.6
67,"Danilo Gallinari, DEN",21,34.5,0.561,12.6,7,20.9,4.4,16.4,10.2,18.31,84.5,2.8
68,"Draymond Green, GS",21,33.9,0.56,33.4,13.3,19.2,5.6,20.8,13.7,18.25,71.8,2.4
69,"Ryan Anderson, NO",20,32.3,0.563,6,9.7,22.3,7.6,15.8,11.6,18.23,64.8,2.2
