aquired,date,notes,relinquished,team
,2013-11-13,bruised right knee (DNP),Jared Sullinger,Celtics
,2013-11-13,fractured nose (DNP),Quincy Pondexter,Grizzlies
,2013-11-13,torn lateral meniscus in left knee (DNP),Solomon Jones,Magic
,2013-11-13,sprained left ankle (DNP),Tobias Harris,Magic
,2013-11-13,sprained MCL in left knee (DTD),Greg Stiemsma,Pelicans
,2013-11-13,flu (DNP),Greg Smith (a),Rockets
,2013-11-13,bruised left foot (DNP),James Harden,Rockets
,2013-11-13,sore left ankle (DNP),Alex Len,Suns
,2013-11-13,flu (DNP),Kevin Martin,Timberwolves
,2013-11-15,strained right hamstring (DNP),Kwame Brown,76ers
,2013-11-15,bruised left foot (DNP),Michael Carter-Williams,76ers
,2013-11-15,sprained left shoulder (DNP),Caron Butler,Bucks
,2013-11-15,sore/aprained right ankle (DNP),Ersan Ilyasova,Bucks
,2013-11-15,sore hamstring (DNP),Derrick Rose,Bulls
,2013-11-15,back spasms (DNP),Udonis Haslem,Heat
,2013-11-15,bruised right thigh (DNP),Wayne Ellington,Mavericks
,2013-11-15,sprained right knee (DNP),Greg Smith (a),Rockets
,2013-11-15,sore left ankle (DNP),Alex Len,Suns
,2013-11-15,sprained right ankle (DNP),Shabazz Muhammad,Timberwolves
,2013-11-16,bruised left foot (DNP),Michael Carter-Williams,76ers
,2013-11-16,sprained left shoulder (DNP),Caron Butler,Bucks
,2013-11-16,sore/aprained right ankle (DNP),Ersan Ilyasova,Bucks
,2013-11-16,sore right wrist (DNP),Courtney Lee,Celtics
,2013-11-16,illness (DNP),Keith Bogans,Celtics
,2013-11-16,back spasms (DNP),Udonis Haslem,Heat
,2013-11-16,sprained right ankle (DNP),Kyle O'Quinn,Magic
,2013-11-16,sprained left ankle (DNP),Tobias Harris,Magic
,2013-11-16,bruised right thigh (DNP),Wayne Ellington,Mavericks
,2013-11-16,sprained left ankle (DNP),Brook Lopez,Nets
,2013-11-16,sprained left ankle (DNP),Deron Williams,Nets
,2013-11-16,illness (DNP),Omer Asik,Rockets
,2013-11-16,sprained right ankle (DNP),Shabazz Muhammad,Timberwolves
,2013-11-16,sore right knee (DTD),Al Harrington,Wizards
,2013-11-16,strained right hamstring (DNP),Trevor Ariza,Wizards
,2013-11-17,bruised left knee (DNP),Patrick Patterson,Kings
,2013-11-18,strained right hamstring (DNP),Kwame Brown,76ers
,2013-11-18,bruised left foot (DNP),Michael Carter-Williams,76ers
,2013-11-18,bruised right thigh (DNP),Wayne Ellington,Mavericks
,2013-11-18,sprained left ankle (DNP),Deron Williams,Nets
,2013-11-19,pinched nerve in left hip (DNP),Raymond Felton,Knicks
,2013-11-19,strained right calf (DNP),Ronnie Brewer,Rockets
,2013-11-19,sprained right knee (DNP),Greg Smith (a),Rockets
,2013-11-19,bruised shin (DNP),Eric Bledsoe,Suns
,2013-11-19,sprained right ankle (DNP),Shabazz Muhammad,Timberwolves
,2013-11-19,sore right knee (DNP),Al Harrington,Wizards
,2013-11-19,strained right hamstring (DNP),Trevor Ariza,Wizards
,2013-11-20,illness (DNP),Keith Bogans,Celtics
,2013-11-20,bruised left eye (DNP),Matt Barnes,Clippers
,2013-11-20,pinched nerve in left hip (DNP),Raymond Felton,Knicks
,2013-11-20,sprained right ankle (DNP),Kyle O'Quinn,Magic
,2013-11-20,sprained left ankle (DNP),Tobias Harris,Magic
,2013-11-20,bruised right thigh (DNP),Wayne Ellington,Mavericks
,2013-11-20,sore back (DNP),Charlie Villanueva,Pistons
,2013-11-20,sprained right ankle (DNP),Quincy Acy,Raptors
,2013-11-20,strained right calf (DNP),Ronnie Brewer,Rockets
,2013-11-20,sprained right knee (DNP),Greg Smith (a),Rockets
,2013-11-20,bruised shin (DNP),Eric Bledsoe,Suns
,2013-11-20,sprained right ankle (DNP),Shabazz Muhammad,Timberwolves
,2013-11-20,strained right hamstring (DNP),Trevor Ariza,Wizards
,2013-11-21,bruised left eye (DNP),Matt Barnes,Clippers
,2013-11-21,surgery on left eye to repair torn retina (out indefinitely),Matt Barnes,Clippers
,2013-11-22,sore right hamstring (DNP),Brandon Knight,Bucks
,2013-11-22,illness (DNP),Keith Bogans,Celtics
,2013-11-22,sore back (DNP),Chris Kaman,Lakers
,2013-11-22,sprained left ankle (DNP),Deron Williams,Nets
,2013-11-22,knee injury (DTD),Jason Terry,Nets
,2013-11-22,upper respiratory infection (DNP),C.J. Watson,Pacers
,2013-11-22,sore back (DNP),Charlie Villanueva,Pistons
,2013-11-22,bruised shin (DNP),Eric Bledsoe,Suns
,2013-11-22,sprained right ankle (DNP),Shabazz Muhammad,Timberwolves
,2013-11-22,fractured right hand (DNP),Ognjen Kuzmic / Ognen Kuzmic,Warriors
,2013-11-22,strained right hamstring (DNP),Trevor Ariza,Wizards
,2013-11-23,sore left knee (DNP),Spencer Hawes,76ers
,2013-11-23,strained lower back (DNP),Tony Wroten Jr.,76ers
,2013-11-23,torn meniscus in right knee (out for season),Derrick Rose,Bulls
,2013-11-23,illness (DNP),Keith Bogans,Celtics
,2013-11-23,sprained right ankle (DNP),Kelly Olynyk,Celtics
,2013-11-23,recovering from surgery on left eye (DNP),Matt Barnes,Clippers
,2013-11-23,sprained MCL in left knee (out indefinitely),Marc Gasol,Grizzlies
,2013-11-23,pinched nerve in left hip (DNP),Raymond Felton,Knicks
,2013-11-23,sprained right ankle (DNP),Kyle O'Quinn,Magic
,2013-11-23,strained right calf (DNP),Ronnie Brewer,Rockets
,2013-11-23,sprained right knee (DNP),Greg Smith (a),Rockets
,2013-11-23,sore left foot (DNP),James Harden,Rockets
,2013-11-23,sprained right ankle (DNP),Shabazz Muhammad,Timberwolves
,2013-11-23,sore right knee (DNP),Al Harrington,Wizards
,2013-11-23,strained right hamstring (DNP),Trevor Ariza,Wizards
,2013-11-24,recovering from surgery on left eye (DNP),Matt Barnes,Clippers
,2013-11-24,sore back (DNP),Chris Kaman,Lakers
,2013-11-24,sprained left ankle (DNP),Deron Williams,Nets
,2013-11-24,bruised shin (DNP),Eric Bledsoe,Suns
,2013-11-25,surgery on right knee to repair torn meniscus (out for season),Derrick Rose,Bulls
,2013-11-25,illness (DNP),Keith Bogans,Celtics
,2013-11-25,sprained right ankle (DNP),Kelly Olynyk,Celtics
,2013-11-25,pinched nerve in left hip (DNP),Raymond Felton,Knicks
,2013-11-25,strained right calf (DNP),Ronnie Brewer,Rockets
,2013-11-25,sprained right knee (DNP),Greg Smith (a),Rockets
,2013-11-25,sore left foot (DNP),James Harden,Rockets
,2013-11-25,bruised shin (DNP),Eric Bledsoe,Suns
,2013-11-25,sprained right ankle (DNP),Shabazz Muhammad,Timberwolves
,2013-11-26,sore back (DNP),Chris Kaman,Lakers
,2013-11-26,sprained left ankle (DNP),Deron Williams,Nets
,2013-11-26,bruised left knee (DNP),Jason Terry,Nets
,2013-11-26,sore right knee (DNP),Al Harrington,Wizards
,2013-11-27,sore left knee (DNP),Spencer Hawes,76ers
,2013-11-27,strained lower back (DNP),Tony Wroten Jr.,76ers
,2013-11-27,illness (DNP),Nate Wolters,Bucks
,2013-11-27,sprained right ankle (DNP),Tyler Zeller,Cavaliers
,2013-11-27,sprained right ankle (DNP),Kelly Olynyk,Celtics
,2013-11-27,recovering from surgery on left eye (DNP),Matt Barnes,Clippers
,2013-11-27,bruised ribs (DNP),Kyle Korver,Hawks
,2013-11-27,sprained left ankle (DNP),Shelvin Mack,Hawks
,2013-11-27,sore back (DNP),Chris Kaman,Lakers
,2013-11-27,sprained left ankle (DNP),Deron Williams,Nets
,2013-11-27,sprained right knee (DNP),Greg Smith (a),Rockets
,2013-11-27,sore left foot (DNP),James Harden,Rockets
,2013-11-27,bruised shin (DNP),Eric Bledsoe,Suns
,2013-11-29,sore left knee (DNP),Caron Butler,Bucks
,2013-11-29,sore/sprained left knee (DNP),Courtney Lee,Celtics
,2013-11-29,sprained right ankle (DNP),Kelly Olynyk,Celtics
,2013-11-29,strained right hamstring (DNP),Chris Paul,Clippers
,2013-11-29,recovering from surgery on left eye (DNP),Matt Barnes,Clippers
,2013-11-29,sore back (DNP),Chris Kaman,Lakers
,2013-11-29,sprained left foot (DNP),Jameer Nelson,Magic
,2013-11-29,sprained left ankle (DNP),Deron Williams,Nets
,2013-11-29,rest (DNP),Kevin Garnett,Nets
,2013-11-29,sprained right knee (DNP),Greg Smith (a),Rockets
,2013-11-29,sprained right knee (DNP),Jeremy Lin,Rockets
,2013-11-29,sore left ankle (DNP),Alex Len,Suns
,2013-11-29,sore right Achilles (DNP),Nene / Nene Hilario / Maybyner Hilario,Wizards
,2013-11-30,sore left knee (DNP),Caron Butler,Bucks
,2013-11-30,sore left hamstring (DNP),Ersan Ilyasova,Bucks
,2013-11-30,sore left knee (DNP),Courtney Lee,Celtics
,2013-11-30,sprained right ankle (DNP),Kelly Olynyk,Celtics
,2013-11-30,ingrown toenail (DNP),Zach Randolph,Grizzlies
,2013-11-30,recovering from surgery on right knee (DNP),Louis Williams / Lou Williams,Hawks
,2013-11-30,sprained left ankle (out indefinitely),Andris Biedrins,Jazz
,2013-11-30,bone bruise in right ankle (DNP),Jose Calderon,Mavericks
,2013-11-30,sprained left ankle (DNP),Deron Williams,Nets
,2013-11-30,bruised right hand (DNP),Paul Pierce,Nets
,2013-11-30,sprained right knee (DNP),Greg Smith (a),Rockets
,2013-11-30,sprained right knee (DNP),Jeremy Lin,Rockets
,2013-11-30,DNP,Shabazz Muhammad,Timberwolves
,2013-11-30,sore right knee (DNP),Al Harrington,Wizards
,2013-12-01,fractured right hand (DNP),J.J. Redick,Clippers
,2013-12-01,recovering from surgery on left eye (DNP),Matt Barnes,Clippers
,2013-12-01,sore back (DNP),Chris Kaman,Lakers
,2013-12-01,fractured left hand (out indefinitely),Anthony Davis,Pelicans
,2013-12-02,torn left hamstring (out indefinitely),Jordan Farmar,Lakers
,2013-12-02,sprained left foot (DNP),Jameer Nelson,Magic
,2013-12-02,sore back / back spasms (DNP),Chandler Parsons,Rockets
,2013-12-02,sprained right knee (DNP),Greg Smith (a),Rockets
,2013-12-02,sprained right knee (DNP),Jeremy Lin,Rockets
,2013-12-03,sore left knee (DNP),Caron Butler,Bucks
,2013-12-03,sprained right ankle (DNP),Kelly Olynyk,Celtics
,2013-12-03,ingrown toenail (DNP),Zach Randolph,Grizzlies
,2013-12-03,knee injury (DTD),Dwyane Wade,Heat
,2013-12-03,sprained left foot (DNP),Jameer Nelson,Magic
,2013-12-03,sprained left ankle (DNP),Nikola Vucevic,Magic
,2013-12-03,sprained left ankle (DNP),Deron Williams,Nets
,2013-12-03,fractured right hand (DNP),Paul Pierce,Nets
,2013-12-04,fractured left hand (out indefinitely),Michael Kidd-Gilchrist,Bobcats
,2013-12-04,sore left knee (DNP),Caron Butler,Bucks
,2013-12-04,fractured right hand (DNP),J.J. Redick,Clippers
,2013-12-04,recovering from surgery on left eye (DNP),Matt Barnes,Clippers
,2013-12-04,sore back (DNP),Chandler Parsons,Rockets
,2013-12-04,sprained right knee (DNP),Greg Smith (a),Rockets
,2013-12-04,sprained right knee (DNP),Jeremy Lin,Rockets
,2013-12-04,bruised right thigh (DNP),Omer Asik,Rockets
,2013-12-05,right knee injury (DNP),Mike James,Bulls
,2013-12-05,fractured right hand (DNP),J.J. Redick,Clippers
,2013-12-05,recovering from surgery on left eye (DNP),Matt Barnes,Clippers
,2013-12-05,hip injury (DNP),Tony Allen,Grizzlies
,2013-12-05,sprained left ankle (DNP),Deron Williams,Nets
,2013-12-05,fractured right hand (DNP),Paul Pierce,Nets
,2013-12-06,sore right knee (DNP),Michael Carter-Williams,76ers
,2013-12-06,sore left knee (DNP),Caron Butler,Bucks
,2013-12-06,sprained (P) / fractured (CBC) right foot (DNP),Zaur Pachulia / Zaza Pachulia,Bucks
,2013-12-06,sprained right ankle (DNP),Kelly Olynyk,Celtics
,2013-12-06,resting knee injury (DNP),Amare Stoudemire / Amar'e Stoudemire,Knicks
,2013-12-06,back spasms (DNP),Chris Kaman,Lakers
,2013-12-06,torn left hamstring (DNP),Jordan Farmar,Lakers
,2013-12-06,sprained left ankle (DNP),Nikola Vucevic,Magic
,2013-12-06,sprained right knee (DNP),Greg Smith (a),Rockets
,2013-12-06,sprained right knee (DNP),Jeremy Lin,Rockets
,2013-12-06,bruised right thigh (DNP),Omer Asik,Rockets
,2013-12-06,sore right knee (DNP),Al Harrington,Wizards
,2013-12-07,sore right knee (DNP),Michael Carter-Williams,76ers
,2013-12-07,sore left knee (DNP),Caron Butler,Bucks
,2013-12-07,sprained right foot (P) (DNP),Zaur Pachulia / Zaza Pachulia,Bucks
,2013-12-07,left calf injury (DNP),Luol Deng,Bulls
,2013-12-07,right knee injury (DNP),Mike James,Bulls
,2013-12-07,fractured right hand (DNP),J.J. Redick,Clippers
,2013-12-07,recovering from surgery on left eye (DNP),Matt Barnes,Clippers
,2013-12-07,sprained right ankle (DNP),Ed Davis (a),Grizzlies
,2013-12-07,hip injury (DNP),Tony Allen,Grizzlies
,2013-12-07,sprained left ankle (DNP),Deron Williams,Nets
,2013-12-07,fractured right hand (DNP),Paul Pierce,Nets
,2013-12-07,strained left hamstring (DNP),Ty Lawson,Nuggets
,2013-12-08,sprained right ankle (DNP),Kelly Olynyk,Celtics
,2013-12-08,sore left ankle (DNP),Kenyon Martin,Knicks
,2013-12-08,back spasms (DNP),Chris Kaman,Lakers
,2013-12-08,torn left hamstring (DNP),Jordan Farmar,Lakers
,2013-12-08,sprained left ankle (DNP),Nikola Vucevic,Magic
,2013-12-08,sore left knee (DNP),Rodney Stuckey,Pistons
,2013-12-08,DNP,Quincy Acy,Raptors
,2013-12-08,DNP,Rudy Gay,Raptors
,2013-12-08,sprained right knee (DNP),Greg Smith (a),Rockets
,2013-12-08,sprained right knee (DNP),Jeremy Lin,Rockets
,2013-12-08,bruised right thigh (DNP),Omer Asik,Rockets
,2013-12-09,back injury (DNP),Elliot Williams,76ers
,2013-12-09,sore right knee (DNP),Michael Carter-Williams,76ers
,2013-12-09,sprained right ankle (DNP),Bismack Biyombo,Bobcats
,2013-12-09,bruised left heel (DNP),Jeffery Taylor / Jeff Taylor (b),Bobcats
,2013-12-09,fractured right foot (out indefinitely),Zaur Pachulia / Zaza Pachulia,Bucks
,2013-12-09,fractured right hand (DNP),J.J. Redick,Clippers
,2013-12-09,recovering from surgery on left eye (DNP),Matt Barnes,Clippers
,2013-12-09,sprained left ankle (DTD),Reggie Bullock,Clippers
,2013-12-09,sprained left /right (CBC) ankle (DNP),Ed Davis (a),Grizzlies
,2013-12-09,stress fracture in right foot (DNP),Quincy Pondexter,Grizzlies
,2013-12-09,hip injury (DNP),Tony Allen,Grizzlies
,2013-12-09,sprained left ankle (DNP),Nikola Vucevic,Magic
,2013-12-09,strained left hamstring (DNP),Ty Lawson,Nuggets
,2013-12-09,sprained left ankle (out indefinitely),Tyreke Evans,Pelicans
,2013-12-09,left ankle injury (DNP),Martell Webster,Wizards
,2013-12-09,right foot injury (DTD),Nene / Nene Hilario / Maybyner Hilario,Wizards
,2013-12-10,sore left knee (DNP),Caron Butler,Bucks
,2013-12-10,plantar faciitis in left foot (DNP),Gary Neal,Bucks
,2013-12-10,fractured right foot (DNP),Zaur Pachulia / Zaza Pachulia,Bucks
,2013-12-10,bruised right thigh (DNP),Joakim Noah,Bulls
,2013-12-10,sore left Achilles (DNP),Luol Deng,Bulls
,2013-12-10,sprained right ankle (DNP),Kelly Olynyk,Celtics
,2013-12-10,sprained left ankle (DTD),Gustavo Ayon,Hawks
,2013-12-10,sore left ankle (DNP),Kenyon Martin,Knicks
,2013-12-10,back spasms (DNP),Chris Kaman,Lakers
,2013-12-10,torn left hamstring (DNP),Jordan Farmar,Lakers
,2013-12-11,skin infection (DNP),Michael Carter-Williams,76ers
,2013-12-11,sprained right ankle (DNP),Bismack Biyombo,Bobcats
,2013-12-11,sore left knee (DNP),Caron Butler,Bucks
,2013-12-11,plantar faciitis in left foot (DNP),Gary Neal,Bucks
,2013-12-11,fractured right foot (DNP),Zaur Pachulia / Zaza Pachulia,Bucks
,2013-12-11,sore left Achilles (DNP),Luol Deng,Bulls
,2013-12-11,sprained right ankle (DNP),Kelly Olynyk,Celtics
,2013-12-11,bruised right knee (DNP),Kris Humphries,Celtics
,2013-12-11,recovering from surgery on left eye (DNP),Matt Barnes,Clippers
,2013-12-11,sprained left ankle (DNP),Reggie Bullock,Clippers
,2013-12-11,sprained left /right (CBC) ankle (DNP),Ed Davis (a),Grizzlies
,2013-12-11,stress fracture in right foot (DNP),Quincy Pondexter,Grizzlies
,2013-12-11,hip injury (DNP),Tony Allen,Grizzlies
,2013-12-11,DNP,Aaron Gray,Kings
,2013-12-11,DNP,Quincy Acy,Kings
,2013-12-11,DNP,Rudy Gay,Kings
,2013-12-11,sore left hamstring (DNP),Raymond Felton,Knicks
,2013-12-11,sprained right wrist (DNP),Jermaine O'Neal,Warriors
,2013-12-12,recovering from surgery on left eye (DNP),Matt Barnes,Clippers
,2013-12-12,torn ligament in right elbow (out indefinitely),Steve Blake,Lakers
,2013-12-12,sprained right knee (DNP),Greg Smith (a),Rockets
,2013-12-12,bruised right thigh (DNP),Omer Asik,Rockets
,2013-12-13,skin infection (DNP),Michael Carter-Williams,76ers
,2013-12-13,sore left knee (DNP),Caron Butler,Bucks
,2013-12-13,fractured right foot (DNP),Zaur Pachulia / Zaza Pachulia,Bucks
,2013-12-13,sore left Achilles (DNP),Luol Deng,Bulls
,2013-12-13,right knee injury (DNP),Mike James,Bulls
,2013-12-13,bruised right knee (DNP),Kris Humphries,Celtics
,2013-12-13,stress fracture in right foot (DNP),Quincy Pondexter,Grizzlies
,2013-12-13,sore left hamstring (DNP),Raymond Felton,Knicks
,2013-12-13,torn left hamstring (DNP),Jordan Farmar,Lakers
,2013-12-13,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2013-12-13,sprained left ankle (DNP),Brook Lopez,Nets
,2013-12-13,strained neck (DNP),Landry Fields,Raptors
,2013-12-13,sprained right knee (DNP),Greg Smith (a),Rockets
,2013-12-13,left ankle injury (DNP),Aron Baynes,Spurs
,2013-12-13,right foot tendinitis (DNP),Nene / Nene Hilario / Maybyner Hilario,Wizards
,2013-12-13,arthroscopic surgery on right wrist to repair torn ligament (out indefinitely),Jermaine O'Neal,Warriors
,2013-12-14,skin infection (DNP),Michael Carter-Williams,76ers
,2013-12-14,surgery on right foot (out for season),Carlos Delfino,Bucks
,2013-12-14,sore left knee (DNP),Caron Butler,Bucks
,2013-12-14,fractured right foot (DNP),Zaur Pachulia / Zaza Pachulia,Bucks
,2013-12-14,strained back (DNP),Kirk Hinrich,Bulls
,2013-12-14,recovering from surgery on left eye (DNP),Matt Barnes,Clippers
,2013-12-14,strained abdominal muscle (DNP),Kenyon Martin,Knicks
,2013-12-14,strained left hamstring (DNP),Raymond Felton,Knicks
,2013-12-14,torn left hamstring (DNP),Jordan Farmar,Lakers
,2013-12-14,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2013-12-14,right foot tendinitis (DNP),Nene / Nene Hilario / Maybyner Hilario,Wizards
,2013-12-15,stress fracture in right foot (DNP),Quincy Pondexter,Grizzlies
,2013-12-15,sprained left ankle (DNP),Tyreke Evans,Pelicans
,2013-12-15,sprained right knee (P) / back injury (CBC) (DNP),Jeremy Lin,Rockets
,2013-12-15,bruised right thigh (DNP),Omer Asik,Rockets
,2013-12-16,skin infection (DNP),Michael Carter-Williams,76ers
,2013-12-16,sore back (DNP),Kirk Hinrich,Bulls
,2013-12-16,recovering from surgery on left eye (DNP),Matt Barnes,Clippers
,2013-12-16,strained abdominal muscle (DNP),Kenyon Martin,Knicks
,2013-12-16,fractured right toe (out indefinitely),Pablo Prigioni,Knicks
,2013-12-16,strained left hamstring (DNP),Raymond Felton,Knicks
,2013-12-16,torn left hamstring (DNP),Jordan Farmar,Lakers
,2013-12-16,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2013-12-16,sprained left ankle (DNP),Brook Lopez,Nets
,2013-12-16,sore left knee (DNP),Kevin Martin,Timberwolves
,2013-12-17,bruised left thigh (DNP),Mike Conley Jr.,Grizzlies
,2013-12-17,torn left hamstring (DNP),Jordan Farmar,Lakers
,2013-12-17,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2013-12-17,sprained left ankle (DNP),Tyreke Evans,Pelicans
,2013-12-18,sore left knee (DNP),Caron Butler,Bucks
,2013-12-18,left foot injury (DNP),Gary Neal,Bucks
,2013-12-18,fractured right foot (DNP),Zaur Pachulia / Zaza Pachulia,Bucks
,2013-12-18,sore back (DNP),Kirk Hinrich,Bulls
,2013-12-18,sprained left ankle (DNP),Reggie Bullock,Clippers
,2013-12-18,bruised left thigh (DNP),Mike Conley Jr.,Grizzlies
,2013-12-18,sore left knee (DNP),Tayshaun Prince,Grizzlies
,2013-12-18,sprained left ankle (DNP),Cartier Martin,Hawks
,2013-12-18,strained abdominal muscle (DNP),Kenyon Martin,Knicks
,2013-12-18,strained left hamstring (DNP),Raymond Felton,Knicks
,2013-12-18,bruised right thigh / back spasms (DNP),Jeremy Lin,Rockets
,2013-12-18,surgery on fractured right wrist,Glen Rice Jr.,Wizards
,2013-12-19,sore back (DNP),Kirk Hinrich,Bulls
,2013-12-19,sore left Achilles (DNP),Luol Deng,Bulls
,2013-12-19,fractured left tibia (out for season),Kobe Bryant,Lakers
,2013-12-19,rest (DNP),Emanuel Ginobili / Manu Ginobili,Spurs
,2013-12-20,back injury (DNP),Elliot Williams,76ers
,2013-12-20,sore left knee / sore right knee (P) (DNP),Caron Butler,Bucks
,2013-12-20,sprained right ankle (DNP),Ersan Ilyasova,Bucks
,2013-12-20,left foot injury (DNP),Gary Neal,Bucks
,2013-12-20,fractured right foot (DNP),Zaur Pachulia / Zaza Pachulia,Bucks
,2013-12-20,illness (DTD),Anthony Bennett,Cavaliers
,2013-12-20,right wrist injury (DTD),Dion Waiters,Cavaliers
,2013-12-20,sprained right ankle (DNP),Tyler Zeller,Cavaliers
,2013-12-20,sprained left ankle (DNP),Cartier Martin,Hawks
,2013-12-20,torn left hamstring (DNP),Jordan Farmar,Lakers
,2013-12-20,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2013-12-20,rest (DNP),Kevin Garnett,Nets
,2013-12-20,back spasms (DNP),Jeremy Lin,Rockets
,2013-12-20,bruised right thigh (DNP),Omer Asik,Rockets
,2013-12-21,torn right Achilles tendon (DNP),Jeffery Taylor / Jeff Taylor (b),Bobcats
,2013-12-21,sprained right ankle (DNP),Ersan Ilyasova,Bucks
,2013-12-21,left foot injury (DNP),Gary Neal,Bucks
,2013-12-21,knee injury (DNP),John Henson,Bucks
,2013-12-21,fractured right foot (DNP),Zaur Pachulia / Zaza Pachulia,Bucks
,2013-12-21,sprained right ankle (DNP),Jimmy Butler,Bulls
,2013-12-21,sore back (DNP),Kirk Hinrich,Bulls
,2013-12-21,sore left Achilles (DNP),Luol Deng,Bulls
,2013-12-21,sore left knee (DNP),Tayshaun Prince,Grizzlies
,2013-12-21,sore left knee (DNP),Metta World Peace / Ron Artest,Knicks
,2013-12-21,strained left hamstring (DNP),Raymond Felton,Knicks
,2013-12-21,torn left hamstring (DNP),Jordan Farmar,Lakers
,2013-12-21,upper respiratory infection (DNP),Pau Gasol,Lakers
,2013-12-21,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2013-12-21,fractured right foot (out for season),Brook Lopez,Nets
,2013-12-21,bruised right knee (DTD),Jason Smith,Pelicans
,2013-12-21,sprained left ankle (DNP),James Harden,Rockets
,2013-12-21,back spasms (DNP),Jeremy Lin,Rockets
,2013-12-21,bruised right thigh (DNP),Omer Asik,Rockets
,2013-12-21,fractured right hand (out indefinitely),Patrick Beverley,Rockets
,2013-12-21,dental procedure (DNP),Kawhi Leonard,Spurs
,2013-12-22,sprained left ankle (DNP),Reggie Bullock,Clippers
,2013-12-23,sprained right ankle (DNP),Ersan Ilyasova,Bucks
,2013-12-23,left foot injury (DNP),Gary Neal,Bucks
,2013-12-23,sore left knee (DNP),Tayshaun Prince,Grizzlies
,2013-12-23,sore left knee (DNP),Metta World Peace / Ron Artest,Knicks
,2013-12-23,torn left hamstring (DNP),Jordan Farmar,Lakers
,2013-12-23,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2013-12-23,sprained left ankle (DNP),Kenneth Faried,Nuggets
,2013-12-23,sore right knee (DNP),Greg Smith (a),Rockets
,2013-12-23,sprained left ankle (DNP),James Harden,Rockets
,2013-12-23,bruised right thigh (DNP),Omer Asik,Rockets
,2013-12-25,sore left Achilles (DNP),Luol Deng,Bulls
,2013-12-25,sprained left ankle (DNP),Reggie Bullock,Clippers
,2013-12-25,sprained left ankle (DNP),Carmelo Anthony,Knicks
,2013-12-25,sore left knee (DNP),Metta World Peace / Ron Artest,Knicks
,2013-12-25,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2013-12-25,sore right knee (DNP),Greg Smith (a),Rockets
,2013-12-25,bruised right thigh (DNP),Omer Asik,Rockets
,2013-12-26,illness (DNP),Brandan Wright,Mavericks
,2013-12-26,sprained right knee (DNP),Greg Smith (a),Rockets
,2013-12-26,bruised right thigh (DNP),Omer Asik,Rockets
,2013-12-27,torn right Achilles tendon (DNP),Jeffery Taylor / Jeff Taylor (b),Bobcats
,2013-12-27,left foot injury (DNP),Gary Neal,Bucks
,2013-12-27,torn right pectoral muscle (out for season),Al Horford,Hawks
,2013-12-27,sore back (DNP),Chris Andersen,Heat
,2013-12-27,right knee tendinitis (DNP),Ray Allen,Heat
,2013-12-27,sprained left ankle (DNP),Carmelo Anthony,Knicks
,2013-12-27,upper respiratory infection (DNP),Pau Gasol,Lakers
,2013-12-27,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2013-12-27,illness (DTD),Wayne Ellington,Mavericks
,2013-12-27,bruised/strained right quadriceps (DNP),Darrell Arthur,Nuggets
,2013-12-27,sprained left ankle (DNP),Kenneth Faried,Nuggets
,2013-12-27,sore right knee (P) / left knee (CBC) (DNP),Kevin Seraphin,Wizards
,2013-12-27,arthroscopic surgery on right knee (out indefinitely),Russell Westbrook,Thunder
,2013-12-27,bone bruise in right knee (DNP),Jason Smith,Pelicans
,2013-12-28,sore right knee (DNP),Evan Turner,76ers
,2013-12-28,torn right Achilles tendon (DNP),Jeffery Taylor / Jeff Taylor (b),Bobcats
,2013-12-28,left foot injury (DNP),Gary Neal,Bucks
,2013-12-28,sprained left ankle (DNP),John Henson,Bucks
,2013-12-28,sore left Achilles (DNP),Luol Deng,Bulls
,2013-12-28,sprained left ankle (DNP),Carmelo Anthony,Knicks
,2013-12-28,sore left knee (DNP),Metta World Peace / Ron Artest,Knicks
,2013-12-28,illness (DNP),Wayne Ellington,Mavericks
,2013-12-28,hamstring injury (DNP),Tyshawn Taylor,Nets
,2013-12-28,bruised/strained right quadriceps (DNP),Darrell Arthur,Nuggets
,2013-12-28,sprained right knee (DNP),Greg Smith (a),Rockets
,2013-12-28,bruised right thigh (DNP),Omer Asik,Rockets
,2013-12-28,sore right knee (P) / left knee (CBC) (DNP),Kevin Seraphin,Wizards
,2013-12-29,sprained right thumb (DNP),DeMarre Carroll,Hawks
,2013-12-29,upper respiratory inflammation (DNP),Pau Gasol,Lakers
,2013-12-29,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2013-12-29,sprained right knee (DNP),Greg Smith (a),Rockets
,2013-12-29,bruised right thigh (DNP),Omer Asik,Rockets
,2013-12-29,food poisoning (DNP),Toney Douglas,Warriors
,2013-12-30,torn right Achilles tendon (DNP),Jeffery Taylor / Jeff Taylor (b),Bobcats
,2013-12-30,sore left Achilles (DNP),Luol Deng,Bulls
,2013-12-30,right knee injury (out indefinitely),Xavier Henry,Lakers
