,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,BR_player_id,DRB,DRtg,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,ORtg,PF,PTS,Pos,STL,Season,TOV,TRB,Tm
3,7.2,.375,19.3,0.0,,0.0,2.7,25,0.0,roberan01,6.7,103,7.2,.375,19.3,2.5,.655,3.9,26,,NBA,350,2.4,81,7.0,17.0,SF,1.5,1980-81,3.8,9.1,WSB
4,7.5,.374,20.1,0.0,,0.0,2.9,28,0.2,roberan01,6.8,112,7.5,.374,20.1,2.9,.722,4.0,19,0,NBA,197,4.4,86,9.5,17.9,SF,1.1,1983-84,3.8,11.3,DEN
0,6.3,.430,14.7,2.4,.386,6.3,9.0,27,0.1,roberbr01,3.3,113,8.7,.417,20.9,2.9,.909,3.2,78,5,NBA,1324,0.7,109,4.4,22.7,PG,1.5,2012-13,2.9,4.0,NOH
1,5.6,.447,12.6,2.0,.360,5.6,7.3,28,0.2,roberbr01,3.7,114,7.6,.420,18.1,3.9,.940,4.2,72,42,NBA,1667,0.5,108,4.1,21.1,PG,1.3,2013-14,3.0,4.2,NOP
2,4.4,.440,10.1,2.4,.321,7.5,6.3,29,0.2,roberbr01,3.7,107,6.8,.389,17.5,2.6,.892,2.9,72,10,NBA,1330,0.5,101,2.9,18.6,PG,1.3,2014-15,2.2,4.2,CHO
3,6.3,.480,13.1,1.6,.357,4.5,5.8,30,0.2,roberbr01,3.7,109,7.9,.448,17.6,4.5,.894,5.0,51,0,NBA,470,0.6,111,3.7,21.9,PG,1.1,2015-16,2.5,4.4,TOT
4,6.3,.477,13.3,1.4,.333,4.1,5.7,30,0.2,roberbr01,3.8,109,7.7,.443,17.3,5.1,.919,5.6,30,0,NBA,333,0.6,110,3.5,21.8,PG,1.1,2015-16,2.4,4.4,CHO
5,6.2,.486,12.8,2.2,.400,5.5,5.8,30,0.4,roberbr01,3.7,111,8.4,.460,18.3,2.9,.800,3.7,21,0,NBA,137,0.7,111,4.4,21.9,PG,1.1,2015-16,2.6,4.4,POR
6,3.5,.372,9.4,2.0,.386,5.3,6.3,31,0.1,roberbr01,4.1,112,5.5,.377,14.7,4.0,.846,4.7,41,2,NBA,416,0.6,100,2.2,17.1,PG,1.1,2016-17,3.1,4.7,CHO
0,6.3,.539,11.6,0.0,.250,0.1,2.9,23,1.1,roberfr01,5.9,111,6.3,.536,11.7,4.2,.837,5.1,79,8,NBA,1531,3.0,114,6.4,16.9,PF,1.5,1983-84,2.9,8.9,SAS
1,8.0,.496,16.2,0.0,1.000,0.0,3.4,24,0.9,roberfr01,4.2,108,8.1,.498,16.2,5.8,.824,7.1,74,0,NBA,1178,3.0,109,5.5,22.0,PF,1.1,1984-85,3.5,7.2,TOT
2,6.7,.449,14.8,0.0,,0.0,3.3,24,1.8,roberfr01,3.8,110,6.7,.449,14.8,4.4,.763,5.8,22,0,NBA,305,1.5,100,6.8,17.7,PF,1.5,1984-85,3.2,5.3,SAS
3,8.5,.511,16.7,0.1,1.000,0.1,3.4,24,0.5,roberfr01,4.3,107,8.6,.513,16.7,6.3,.840,7.5,52,0,NBA,873,3.6,112,5.0,23.5,PF,0.9,1984-85,3.6,7.9,UTA
4,7.2,.442,16.3,0.1,.500,0.2,2.7,25,0.6,roberfr01,4.9,108,7.3,.443,16.5,6.6,.770,8.6,58,0,NBA,469,3.1,94,7.1,21.4,PF,0.8,1985-86,5.3,7.9,UTA
5,6.3,.521,12.0,0.0,.000,0.1,2.8,26,0.9,roberfr01,6.1,108,6.3,.515,12.2,5.6,.810,6.9,73,11,NBA,1079,2.4,105,5.8,18.1,PF,1.0,1986-87,4.0,8.6,BOS
6,7.6,.497,15.4,0.0,.000,0.3,3.8,27,0.7,roberfr01,4.8,112,7.6,.488,15.7,6.1,.776,7.8,74,14,NBA,1032,2.8,110,5.6,21.4,PF,0.8,1987-88,3.2,7.7,BOS
7,5.9,.498,11.9,0.1,.214,0.5,2.6,28,0.9,roberfr01,5.5,108,6.0,.486,12.4,4.0,.806,5.0,71,3,NBA,1251,2.6,105,4.9,16.2,PF,1.4,1988-89,3.1,8.1,MIL
8,7.2,.501,14.3,0.0,.182,0.2,3.2,29,0.5,roberfr01,4.5,111,7.2,.495,14.6,4.3,.783,5.5,82,66,NBA,2235,2.3,108,4.6,18.8,PF,1.2,1989-90,2.8,6.8,MIL
9,8.3,.547,15.2,0.1,.160,0.6,3.2,30,0.7,roberfr01,4.1,110,8.4,.533,15.8,4.0,.813,4.9,82,82,NBA,2114,2.5,111,4.5,21.0,PF,1.5,1990-91,3.2,6.6,MIL
10,8.4,.480,17.5,0.5,.514,1.1,3.5,31,1.2,roberfr01,4.4,112,9.0,.482,18.6,3.7,.749,4.9,80,63,NBA,1746,3.0,106,5.1,22.1,PF,1.5,1991-92,3.5,7.4,MIL
11,7.2,.536,13.4,0.4,.414,1.0,4.0,32,0.9,roberfr01,4.9,111,7.6,.528,14.4,4.5,.799,5.7,79,5,NBA,1488,3.1,120,4.6,20.1,C,1.9,1992-93,2.2,8.0,MIL
12,6.1,.393,15.5,1.0,.364,2.8,2.0,34,0.8,roberfr01,5.3,106,7.1,.389,18.3,5.1,.769,6.6,21,0,NBA,223,3.3,105,6.6,20.3,SF,1.5,1994-95,1.8,8.6,CLE
13,7.2,.530,13.6,0.7,.286,2.3,4.3,35,0.7,roberfr01,4.8,107,7.9,.495,15.9,3.6,.786,4.6,33,1,NBA,317,3.0,105,3.9,20.0,C,2.6,1995-96,3.9,7.7,LAL
14,8.1,.400,20.2,0.0,,0.0,0.0,36,1.3,roberfr01,10.8,108,8.1,.400,20.2,13.5,.714,18.9,12,0,NBA,40,2.7,92,2.7,29.7,PF,0.0,1996-97,6.7,13.5,DAL
0,6.1,.476,12.9,0.0,.000,0.6,1.5,23,0.6,roberla01,7.1,100,6.1,.455,13.5,3.4,.478,7.1,33,0,NBA,181,8.0,110,9.2,15.7,C,2.5,2005-06,1.5,15.1,MEM
1,5.0,.456,10.9,0.0,.000,0.1,1.6,24,0.7,roberla01,8.5,110,5.0,.452,11.0,5.0,.725,6.9,54,18,NBA,969,5.3,114,7.0,15.0,PF,1.9,2006-07,1.9,13.8,MEM
0,7.7,.444,17.3,0.0,1.000,0.0,3.5,24,0.2,roberma01,6.1,104,7.7,.445,17.4,3.7,.787,4.8,74,,ABA,1599,4.7,105,4.4,19.2,PF,1.4,1973-74,2.9,10.8,TOT
1,7.6,.445,17.0,0.1,1.000,0.1,3.2,24,0.1,roberma01,5.3,106,7.6,.447,17.1,3.5,.774,4.5,35,,ABA,645,4.2,100,5.2,18.8,PF,0.9,1973-74,3.5,9.4,DNR
2,7.8,.443,17.5,0.0,,0.0,3.6,24,0.2,roberma01,6.7,103,7.8,.443,17.5,3.9,.794,5.0,39,,ABA,954,5.0,109,3.9,19.5,PF,1.7,1973-74,2.5,11.7,CAR
3,6.9,.431,15.9,0.0,.000,0.0,3.5,25,0.1,roberma01,5.3,102,6.9,.430,16.0,4.3,.774,5.6,83,,ABA,1370,3.1,100,6.8,18.1,SF,0.9,1974-75,3.4,8.4,KEN
4,7.5,.417,18.0,0.0,,0.0,3.5,26,0.2,roberma01,3.8,108,7.5,.417,18.0,3.1,.781,4.0,72,,ABA,1559,3.0,98,4.4,18.1,SF,1.0,1975-76,2.9,6.8,TOT
5,7.7,.442,17.4,0.0,,0.0,3.5,26,0.3,roberma01,3.8,106,7.7,.442,17.4,4.0,.779,5.1,40,,ABA,1003,3.3,102,4.3,19.4,SF,0.9,1975-76,3.1,7.2,KEN
6,7.2,.377,19.1,0.0,,0.0,3.4,26,0.2,roberma01,3.8,111,7.2,.377,19.1,1.5,.792,1.9,32,,ABA,556,2.4,88,4.4,15.9,SF,1.2,1975-76,2.6,6.2,VIR
7,5.9,.355,16.7,,,,4.2,27,0.4,roberma01,3.5,103,5.9,.355,16.7,0.9,.667,1.3,28,,NBA,209,2.0,,7.5,12.7,SF,0.9,1976-77,,5.5,LAL
0,10.3,.530,19.5,0.0,.000,0.0,1.7,21,3.6,roberst01,9.8,106,10.3,.529,19.5,4.4,.515,8.6,55,34,NBA,1118,4.9,105,9.7,25.1,C,1.0,1991-92,3.4,14.7,ORL
1,10.0,.527,19.0,0.0,,0.0,1.6,22,3.8,roberst01,7.9,106,10.0,.527,19.0,3.2,.488,6.6,77,76,NBA,1816,4.8,103,8.9,23.2,C,0.9,1992-93,3.2,12.8,LAC
2,5.9,.430,13.8,0.0,,0.0,1.5,23,3.4,roberst01,9.1,106,5.9,.430,13.8,2.5,.409,6.1,14,14,NBA,350,3.7,85,7.4,14.3,C,0.8,1993-94,3.3,12.8,LAC
3,9.1,.464,19.7,0.0,,0.0,2.7,25,2.5,roberst01,7.8,109,9.1,.464,19.7,4.8,.556,8.6,51,7,NBA,795,2.7,99,9.9,23.1,C,1.0,1995-96,3.1,10.5,LAC
4,8.8,.426,20.6,0.0,,0.0,1.3,26,3.2,roberst01,9.3,105,8.8,.426,20.6,6.3,.703,8.9,18,2,NBA,378,3.3,98,7.9,23.8,C,1.1,1996-97,3.2,12.7,LAC
5,7.5,.495,15.1,0.0,,0.0,1.1,27,2.8,roberst01,9.9,104,7.5,.495,15.1,2.9,.481,6.1,74,44,NBA,1328,4.3,98,8.8,17.8,C,0.9,1997-98,2.7,14.2,MIN
6,8.2,.385,21.3,0.0,,0.0,0.0,28,1.6,roberst01,11.5,103,8.2,.385,21.3,6.6,.500,13.1,6,0,NBA,33,6.6,79,3.3,22.9,C,0.0,1998-99,6.6,18.0,HOU
7,5.1,.333,15.2,0.0,.000,1.0,3.0,29,1.0,roberst01,9.1,100,5.1,.313,16.2,0.0,.000,3.0,5,1,NBA,51,6.1,76,15.2,10.2,C,1.0,1999-00,2.0,15.2,PHI
0,8.1,.501,16.1,0.1,.364,0.3,7.5,22,0.7,roberal01,4.1,107,8.2,.498,16.4,3.4,.734,4.6,79,9,NBA,1685,3.2,104,5.9,19.9,SG,3.5,1984-85,4.6,7.3,SAS
1,8.9,.521,17.1,0.1,.276,0.5,7.2,23,0.6,roberal01,5.3,103,9.0,.514,17.6,4.2,.795,5.3,82,82,NBA,2878,3.0,109,4.8,22.4,SG,4.8,1985-86,4.1,8.3,SAS
2,10.1,.474,21.3,0.2,.271,0.8,7.4,24,0.6,roberal01,4.2,106,10.3,.466,22.1,4.3,.753,5.7,81,78,NBA,2697,3.3,104,4.6,25.1,SG,4.6,1986-87,4.3,7.4,SAS
3,9.7,.478,20.3,0.4,.284,1.5,8.6,25,1.1,roberal01,5.1,109,10.1,.465,21.7,4.2,.748,5.6,82,82,NBA,2978,2.5,106,4.6,24.9,SG,3.8,1987-88,3.9,7.7,SAS
4,9.2,.497,18.5,0.2,.200,0.9,7.9,26,0.7,roberal01,4.6,105,9.4,.483,19.4,3.7,.723,5.1,65,65,NBA,2287,3.2,103,5.2,22.6,SG,4.0,1988-89,4.7,7.7,SAS
5,8.9,.513,17.3,0.1,.154,0.5,8.4,27,0.3,roberal01,6.2,104,9.0,.503,17.8,3.7,.741,5.0,81,81,NBA,2599,4.3,110,5.3,21.7,SG,3.9,1989-90,4.1,10.5,MIL
6,8.0,.493,16.2,0.4,.365,1.2,8.5,28,0.3,roberal01,5.2,103,8.4,.485,17.4,3.8,.757,5.1,81,81,NBA,2598,3.7,109,5.2,21.1,SG,4.7,1990-91,4.1,8.8,MIL
7,6.7,.462,14.5,1.4,.319,4.3,7.3,29,0.7,roberal01,3.6,108,8.1,.430,18.8,3.1,.763,4.0,82,79,NBA,2463,3.6,103,5.4,20.6,SG,4.3,1991-92,4.6,7.1,MIL
8,5.2,.496,10.5,1.0,.328,3.1,6.6,30,0.5,roberal01,4.1,107,6.2,.458,13.6,2.1,.656,3.2,69,54,NBA,2006,2.7,104,5.5,15.6,SG,3.9,1992-93,3.4,6.8,TOT
9,5.7,.519,11.0,0.8,.309,2.6,7.3,30,0.4,roberal01,4.2,107,6.5,.479,13.6,2.1,.629,3.3,39,32,NBA,1065,2.2,103,5.6,15.9,SG,4.2,1992-93,3.6,6.4,MIL
10,4.6,.467,10.0,1.3,.343,3.7,5.9,30,0.5,roberal01,3.9,106,5.9,.434,13.6,2.2,.690,3.2,30,22,NBA,941,3.3,106,5.4,15.3,SG,3.6,1992-93,3.1,7.2,DET
11,5.1,.535,9.5,0.9,.272,3.1,6.7,33,0.7,roberal01,4.8,110,5.9,.470,12.6,2.2,.677,3.3,77,69,NBA,2478,2.3,103,5.6,14.9,SG,3.5,1995-96,3.8,7.1,TOR
0,,,,,,,8.2,35,0.1,roberos01,3.8,98,6.2,.438,14.2,3.9,.835,4.7,70,,NBA,2477,1.3,,2.4,16.3,PG,1.4,1973-74,,5.1,MIL
0,3.9,.500,7.7,0.0,.000,3.9,0.0,23,0.0,roberry01,0.0,112,3.9,.333,11.6,1.9,1.000,1.9,1,0,NBA,25,0.0,87,0.0,9.7,SG,0.0,1999-00,0.0,0.0,SAC
0,,,,,,,5.2,22,0.3,roberto01,2.8,99,8.4,.441,19.1,1.9,.698,2.7,63,,NBA,929,0.8,87,6.7,18.7,SG,3.7,1977-78,4.4,3.5,ATL
1,,,,,,,2.5,23,0.0,roberto01,2.5,99,9.5,.375,25.4,3.8,.667,5.7,12,,NBA,74,3.8,82,6.3,22.9,SG,5.1,1978-79,5.1,6.3,GSW
0,8.3,.478,17.3,,,,3.4,23,0.4,robeyri01,8.9,104,8.3,.478,17.3,4.5,.777,5.8,79,,NBA,1763,4.3,102,6.0,21.0,C,1.2,1978-79,4.2,13.2,TOT
1,7.5,.475,15.8,,,,2.8,23,0.6,robeyri01,9.3,103,7.5,.475,15.8,4.8,.744,6.5,43,,NBA,849,4.3,98,6.0,19.9,C,1.3,1978-79,4.8,13.6,IND
2,9.0,.481,18.6,,,,3.9,23,0.1,robeyri01,8.4,106,9.0,.481,18.6,4.1,.816,5.1,36,,NBA,914,4.3,105,6.0,22.1,C,1.1,1978-79,3.7,12.8,BOS
3,9.2,.522,17.7,0.0,.000,0.0,2.2,24,0.4,robeyri01,7.8,102,9.2,.521,17.7,4.5,.684,6.6,82,27,NBA,1918,5.1,109,6.0,23.0,C,1.3,1979-80,3.7,12.9,BOS
4,9.0,.546,16.6,0.0,.000,0.0,3.8,25,0.6,robeyri01,7.8,103,9.0,.545,16.6,4.4,.574,7.6,82,4,NBA,1569,4.0,105,6.2,22.5,C,1.2,1980-81,4.3,11.8,BOS
5,7.4,.496,14.9,0.0,.000,0.1,2.7,26,0.6,robeyri01,7.2,104,7.4,.493,15.0,3.4,.535,6.3,80,4,NBA,1186,4.5,100,7.3,18.1,C,1.1,1981-82,3.7,11.8,BOS
6,5.4,.467,11.5,0.0,,0.0,3.5,27,0.4,robeyri01,7.6,104,5.4,.467,11.5,2.4,.577,4.2,59,6,NBA,855,4.3,95,7.1,13.2,C,0.7,1982-83,3.9,11.8,BOS
7,7.7,.543,14.2,0.1,1.000,0.1,3.6,28,0.8,robeyri01,6.5,109,7.7,.545,14.2,3.4,.693,4.9,61,4,NBA,856,4.4,105,6.6,18.9,C,1.1,1983-84,4.3,10.9,PHO
8,2.0,.222,8.8,0.0,,0.0,4.9,29,0.0,robeyri01,4.9,108,2.0,.222,8.8,1.0,.500,2.0,4,0,NBA,48,2.9,49,6.8,4.9,C,2.0,1984-85,7.8,7.8,PHO
9,5.2,.383,13.7,0.0,.000,0.2,4.2,30,0.4,robeyri01,7.9,107,5.2,.377,13.9,2.4,.688,3.5,46,1,NBA,629,2.9,81,6.7,12.9,C,1.4,1985-86,4.8,10.8,PHO
0,5.2,.452,11.6,0.5,.375,1.3,4.8,24,0.6,robinbe01,5.4,109,5.7,.444,12.8,2.9,.692,4.1,31,1,NBA,328,2.2,98,6.7,14.7,SG,1.7,2004-05,3.2,7.6,CHA
1,6.1,.451,13.6,0.1,.095,0.8,3.0,25,0.4,robinbe01,6.2,105,6.2,.430,14.4,4.2,.791,5.3,66,18,NBA,1303,2.4,98,5.6,16.6,SF,3.2,2005-06,2.9,8.6,CHA
2,3.6,.317,11.3,0.0,.000,0.4,3.6,26,0.4,robinbe01,7.1,104,3.6,.306,11.6,4.3,.852,5.1,31,0,NBA,278,1.9,86,6.0,11.5,SG-SF,3.2,2006-07,3.0,9.0,TOT
3,3.5,.308,11.3,0.0,.000,0.4,3.7,26,0.2,robinbe01,7.1,105,3.5,.296,11.7,4.1,.864,4.8,21,0,NBA,241,1.9,82,6.1,11.0,SG,2.8,2006-07,3.5,9.1,CHA
4,4.3,.375,11.4,0.0,,0.0,2.8,26,1.4,robinbe01,7.1,96,4.3,.375,11.4,5.7,.800,7.1,10,0,NBA,37,1.4,118,5.7,14.2,SF,5.7,2006-07,0.0,8.5,NJN
0,2.8,.376,7.4,2.7,.382,7.1,5.2,22,0.7,robinch01,3.8,113,5.5,.379,14.5,1.3,.615,2.1,41,6,NBA,681,1.8,99,6.8,15.0,SG,2.2,1996-97,2.7,5.7,VAN
1,5.2,.380,13.6,3.0,.364,8.3,4.9,23,0.5,robinch01,4.7,109,8.2,.374,21.9,1.0,.500,2.0,35,0,NBA,414,1.1,87,6.3,20.4,SG,2.4,1997-98,4.2,5.8,TOT
2,5.8,.410,14.2,2.6,.292,8.7,3.6,23,0.4,robinch01,4.7,111,8.4,.365,23.0,0.4,.500,0.7,16,0,NBA,143,0.0,76,7.7,19.7,SG,2.6,1997-98,5.5,4.7,VAN
3,4.8,.362,13.3,3.3,.405,8.1,5.6,23,0.6,robinch01,4.6,107,8.1,.378,21.3,1.3,.500,2.7,19,0,NBA,271,1.7,93,5.6,20.8,SG,2.3,1997-98,3.5,6.3,SAC
0,10.6,.470,22.6,0.0,.250,0.1,2.7,19,0.9,robincl01,9.0,101,10.7,.469,22.7,4.6,.694,6.6,70,,NBA,1661,4.7,101,4.9,25.9,PF,1.7,1979-80,3.7,13.8,NJN
1,13.1,.490,26.8,0.0,1.000,0.0,2.6,20,1.3,robincl01,9.0,105,13.1,.491,26.8,4.5,.718,6.2,63,,NBA,1822,3.0,98,5.4,30.8,PF,1.5,1980-81,4.6,12.0,NJN
2,11.4,.455,25.0,0.0,.000,0.1,2.6,21,2.3,robincl01,9.5,105,11.4,.453,25.0,4.9,.709,6.9,68,59,NBA,2175,3.8,100,4.9,27.6,PF,1.9,1981-82,3.3,13.3,TOT
3,12.4,.457,27.0,0.0,.000,0.1,2.7,21,2.3,robincl01,9.2,104,12.4,.455,27.2,4.8,.694,6.9,38,30,NBA,1229,3.2,99,4.6,29.5,PF,1.8,1981-82,3.3,12.4,KCK
4,10.0,.452,22.2,0.0,.000,0.1,2.5,21,2.2,robincl01,10.0,106,10.0,.451,22.2,5.0,.729,6.8,30,29,NBA,946,4.7,102,5.2,25.0,PF,2.1,1981-82,3.2,14.7,CLE
5,11.1,.479,23.2,0.0,.000,0.1,2.7,22,1.1,robincl01,12.6,103,11.1,.477,23.3,4.0,.708,5.7,77,75,NBA,2601,3.6,99,5.1,26.2,PF,1.2,1982-83,4.2,16.2,CLE
6,10.9,.450,24.3,0.0,.500,0.0,3.8,23,0.7,robincl01,12.3,106,10.9,.450,24.3,4.8,.701,6.9,73,70,NBA,2402,3.2,99,4.0,26.7,C,1.0,1983-84,3.8,15.5,CLE
7,10.8,.471,22.9,0.0,.333,0.1,3.8,24,1.2,robincl01,10.4,102,10.8,.471,22.9,4.0,.742,5.5,60,37,NBA,1870,3.6,98,4.8,25.7,PF,1.3,1984-85,4.1,14.0,WSB
8,11.2,.475,23.6,0.0,.250,0.1,3.5,25,0.8,robincl01,9.5,102,11.2,.474,23.7,5.1,.762,6.7,78,78,NBA,2563,3.4,102,4.1,27.6,SF,1.9,1985-86,3.9,12.9,WSB
9,10.5,.466,22.6,0.0,.000,0.1,2.8,26,0.9,robincl01,6.9,106,10.5,.464,22.7,4.3,.755,5.7,55,30,NBA,1586,2.7,100,4.7,25.4,PF,2.7,1986-87,3.8,9.5,PHI
10,11.4,.466,24.4,0.0,.222,0.2,3.1,27,0.9,robincl01,6.8,109,11.4,.464,24.7,5.0,.717,6.9,62,51,NBA,2110,2.7,102,4.5,27.9,SF,1.9,1987-88,3.8,9.6,PHI
11,10.5,.484,21.8,0.0,.000,0.1,3.7,28,0.2,robincl01,6.6,111,10.5,.481,21.9,3.7,.727,5.2,14,13,NBA,416,2.2,99,4.3,24.8,SF,2.0,1988-89,4.0,8.8,PHI
12,7.3,.423,17.3,0.0,.000,0.7,6.0,31,0.0,robincl01,8.0,105,7.3,.407,18.0,4.7,.875,5.3,9,0,NBA,78,4.7,98,2.7,19.3,PF,3.3,1991-92,4.7,12.6,LAL
0,8.6,.405,21.2,0.4,.273,1.3,2.2,23,1.6,robincl02,5.9,104,8.9,.397,22.5,4.1,.550,7.5,82,0,NBA,1565,3.3,90,6.8,22.4,PF,1.6,1989-90,3.9,9.2,POR
1,9.0,.466,19.4,0.1,.316,0.5,3.7,24,1.9,robincl02,5.6,104,9.2,.463,19.8,5.0,.653,7.7,82,11,NBA,1940,3.0,104,6.5,23.6,PF,1.9,1990-91,3.3,8.6,POR
2,9.1,.471,19.2,0.0,.091,0.3,3.1,25,2.4,robincl02,6.3,103,9.1,.466,19.5,5.0,.664,7.5,82,7,NBA,2124,3.2,103,6.3,23.2,SF,1.9,1991-92,3.5,9.5,POR
3,11.5,.487,23.7,0.4,.247,1.4,3.4,26,3.1,robincl02,7.1,103,11.9,.473,25.1,5.4,.690,7.8,82,12,NBA,2575,3.1,106,5.4,29.5,PF,1.8,1992-93,3.3,10.2,POR
4,10.7,.465,23.0,0.2,.245,0.9,2.7,27,1.9,robincl02,6.6,104,10.9,.457,23.9,6.0,.765,7.8,82,64,NBA,2853,2.8,107,4.5,28.0,C,2.0,1993-94,2.9,9.4,POR
5,8.5,.486,17.6,2.7,.371,7.2,3.7,28,1.5,robincl02,5.1,107,11.2,.452,24.8,5.0,.694,7.2,75,73,NBA,2725,2.9,113,4.5,30.1,SF,1.5,1994-95,3.0,7.9,POR
6,6.5,.449,14.5,3.1,.378,8.2,3.3,29,1.2,robincl02,5.6,105,9.6,.423,22.7,6.3,.664,9.4,78,76,NBA,2980,2.1,108,4.3,28.6,SF,1.5,1995-96,3.4,7.7,POR
7,5.5,.466,11.9,2.1,.346,6.0,4.5,30,1.1,robincl02,4.0,105,7.6,.426,17.9,3.7,.696,5.3,81,79,NBA,3077,1.5,106,4.3,21.0,SF,1.7,1996-97,3.0,5.5,POR
8,8.9,.496,18.0,0.6,.321,1.9,3.8,31,2.0,robincl02,5.7,101,9.5,.479,19.9,5.5,.689,8.0,80,64,NBA,2359,3.4,108,5.5,25.2,SF,2.0,1997-98,3.1,9.1,PHO
9,7.4,.492,15.0,1.8,.417,4.3,3.9,32,1.8,robincl02,4.8,103,9.2,.475,19.3,5.0,.697,7.2,50,35,NBA,1740,2.1,110,4.7,25.1,SF,2.3,1998-99,2.7,7.0,PHO
10,7.4,.501,14.7,2.2,.370,5.8,4.0,33,1.1,robincl02,4.6,101,9.5,.464,20.5,5.4,.782,6.9,80,67,NBA,2839,1.9,111,4.3,26.6,SF,1.6,1999-00,3.0,6.5,PHO
11,7.7,.439,17.6,1.7,.361,4.7,4.4,34,1.5,robincl02,4.3,100,9.4,.422,22.2,4.7,.709,6.7,82,82,NBA,2751,2.0,99,4.8,25.2,PF,1.6,2000-01,3.5,6.3,PHO
12,6.3,.443,14.3,2.1,.378,5.7,3.8,35,1.8,robincl02,5.7,103,8.5,.425,20.0,2.7,.694,3.8,80,80,NBA,2855,1.5,98,4.5,21.8,PF,1.7,2001-02,2.8,7.2,DET
13,5.6,.422,13.2,1.7,.336,5.1,5.2,36,1.7,robincl02,4.6,101,7.3,.398,18.3,3.2,.676,4.7,81,69,NBA,2825,1.6,97,5.1,19.4,PF,1.7,2002-03,3.1,6.2,DET
14,4.8,.403,11.9,2.1,.357,5.9,5.1,37,1.4,robincl02,5.0,105,6.9,.387,17.8,2.3,.711,3.2,82,82,NBA,2846,1.0,94,4.5,18.2,PF,1.3,2003-04,3.2,6.0,GSW
15,4.2,.409,10.2,2.1,.347,6.0,3.2,38,1.6,robincl02,4.8,106,6.3,.386,16.2,1.9,.639,3.0,71,29,NBA,1689,1.7,97,5.6,16.5,C-PF,1.9,2004-05,2.0,6.5,TOT
16,4.7,.436,10.7,2.0,.331,6.0,3.5,38,1.8,robincl02,3.9,107,6.7,.398,16.7,1.7,.603,2.7,42,29,NBA,1090,1.5,98,5.1,17.0,C,2.1,2004-05,1.9,5.4,GSW
17,3.2,.350,9.3,2.2,.379,5.9,2.7,38,1.3,robincl02,6.5,103,5.5,.361,15.2,2.4,.692,3.5,29,0,NBA,599,2.1,94,6.7,15.6,PF,1.6,2004-05,2.2,8.5,NJN
18,4.6,.470,9.7,1.7,.343,5.0,2.6,39,1.1,robincl02,6.1,103,6.3,.427,14.7,1.5,.658,2.3,80,13,NBA,1863,1.6,99,5.9,15.8,PF,1.3,2005-06,1.8,7.7,NJN
19,3.1,.368,8.4,1.4,.379,3.6,2.8,40,1.3,robincl02,5.0,108,4.5,.372,12.0,0.9,.444,2.0,50,1,NBA,955,1.7,91,5.4,11.2,C,0.7,2006-07,1.7,6.7,NJN
0,11.2,.532,21.1,0.0,.000,0.0,2.7,24,5.2,robinda01,11.0,97,11.2,.531,21.1,10.0,.732,13.6,82,81,NBA,3002,4.9,116,4.2,32.4,C,2.2,1989-90,4.2,16.0,SAS
1,11.8,.554,21.4,0.0,.143,0.1,3.3,25,5.0,robinda01,11.5,96,11.9,.552,21.5,9.3,.762,12.2,82,81,NBA,3095,5.3,119,4.2,33.1,C,2.0,1990-91,4.2,16.7,SAS
2,11.5,.554,20.7,0.0,.125,0.2,3.5,26,5.9,robinda01,11.1,94,11.5,.551,20.9,7.6,.701,10.9,68,68,NBA,2564,5.1,118,4.3,30.7,C,3.1,1991-92,3.5,16.1,SAS
3,10.5,.506,20.9,0.0,.176,0.3,4.7,27,4.1,robinda01,11.4,100,10.6,.501,21.1,8.8,.732,12.0,82,82,NBA,3211,3.6,113,3.7,30.0,C,2.0,1992-93,3.8,15.0,SAS
4,13.6,.510,26.8,0.2,.345,0.5,6.3,28,4.4,robinda01,10.1,98,13.8,.507,27.2,11.4,.749,15.2,80,80,NBA,3241,4.0,119,3.7,39.2,C,2.3,1993-94,4.2,14.1,SAS
5,12.9,.533,24.2,0.1,.300,0.3,3.9,29,4.3,robinda01,10.6,99,13.0,.530,24.5,10.8,.774,14.0,81,81,NBA,3074,3.9,120,3.8,36.9,C,2.2,1994-95,3.8,14.5,SAS
6,12.1,.517,23.3,0.1,.333,0.2,4.2,30,4.6,robinda01,11.6,96,12.1,.516,23.5,10.7,.761,14.0,82,82,NBA,3019,5.4,120,4.5,34.9,C,1.9,1995-96,3.2,17.0,SAS
7,13.5,.500,26.9,0.0,,0.0,3.0,31,2.2,robinda01,12.0,106,13.5,.500,26.9,12.7,.654,19.4,6,6,NBA,147,7.1,117,3.4,39.6,C,2.2,1996-97,3.0,19.1,SAS
8,12.0,.512,23.4,0.0,.250,0.1,4.4,32,4.2,robinda01,11.8,94,12.0,.511,23.5,10.7,.735,14.6,73,73,NBA,2457,5.3,114,4.5,34.8,C,1.4,1997-98,4.5,17.1,SAS
9,9.3,.510,18.3,0.0,.000,0.0,3.6,33,4.1,robinda01,12.0,88,9.3,.509,18.4,8.3,.658,12.6,49,49,NBA,1554,5.2,111,5.0,27.0,C,2.4,1998-99,3.8,17.1,SAS
10,10.9,.513,21.3,0.0,.000,0.0,2.9,34,3.8,robinda01,11.9,92,10.9,.512,21.3,7.7,.726,10.6,80,80,NBA,2557,4.0,112,5.1,29.5,C,2.0,1999-00,3.4,15.9,SAS
