Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,PER,FGA,MP
144,Dwyane Wade,2005-06,24,MIA,NBA,75,75,38.6,9.3,18.8,9.1,17.8,0.2,1.0,8.4,10.7,1.4,4.3,5.7,6.7,1.9,0.8,3.6,2.9,27.2,.495,.513,.171,.499,.783,.577,27.6,1413,2892
145,Hakeem Olajuwon*,1992-93,30,HOU,NBA,82,82,39.5,10.3,19.5,10.3,19.5,0.0,0.1,5.4,7.0,3.5,9.6,13.0,3.5,1.8,4.2,3.2,3.7,26.1,.529,.532,.000,.529,.779,.577,27.3,1603,3242
146,David Robinson*,1993-94,28,SAS,NBA,80,80,40.5,10.5,20.7,10.4,20.4,0.1,0.4,8.7,11.6,3.0,7.7,10.7,4.8,1.7,3.3,3.2,2.9,29.8,.507,.510,.345,.510,.749,.577,30.7,1658,3241
147,LeBron James,2014-15,30,CLE,NBA,69,69,36.1,9.0,18.5,7.3,13.6,1.7,4.9,5.4,7.7,0.7,5.3,6.0,7.4,1.6,0.7,3.9,2.0,25.3,.488,.536,.354,.535,.710,.577,25.9,1279,2493
148,Moses Malone*,1981-82,26,HOU,NBA,81,81,42.0,11.7,22.5,11.7,22.4,0.0,0.1,7.8,10.2,6.9,7.8,14.7,1.8,0.9,1.5,3.6,2.6,31.1,.519,.520,.000,.519,.762,.576,26.8,1822,3398
149,Tim Duncan,2001-02,25,SAS,NBA,82,82,40.6,9.3,18.3,9.3,18.2,0.0,0.1,6.8,8.5,3.3,9.4,12.7,3.7,0.7,2.5,3.2,2.6,25.5,.508,.511,.100,.508,.799,.576,27.0,1504,3329
150,Kobe Bryant,2007-08,29,LAL,NBA,82,82,38.9,9.5,20.6,7.6,15.5,1.8,5.1,7.6,9.0,1.1,5.2,6.3,5.4,1.8,0.5,3.1,2.8,28.3,.459,.490,.361,.503,.840,.576,24.2,1690,3192
151,Chris Paul,2007-08,22,NOH,NBA,80,80,37.6,7.9,16.1,6.7,13.0,1.2,3.1,4.2,4.9,0.8,3.2,4.0,11.6,2.7,0.1,2.5,2.3,21.1,.488,.516,.369,.524,.851,.576,28.3,1291,3006
152,Karl Malone*,1995-96,32,UTA,NBA,82,82,38.0,9.6,18.5,9.4,18.0,0.2,0.5,6.2,8.6,2.1,7.7,9.8,4.2,1.7,0.7,2.4,3.0,25.7,.519,.522,.400,.524,.723,.575,26.0,1520,3113
153,Shaquille O'Neal,2000-01,28,LAL,NBA,74,74,39.5,11.0,19.2,11.0,19.2,0.0,0.0,6.7,13.1,3.9,8.8,12.7,3.7,0.6,2.8,2.9,3.5,28.7,.572,.573,.000,.572,.513,.574,30.2,1422,2924
154,Dwyane Wade,2008-09,27,MIA,NBA,79,79,38.6,10.8,22.0,9.7,18.5,1.1,3.5,7.5,9.8,1.1,3.9,5.0,7.5,2.2,1.3,3.4,2.3,30.2,.491,.524,.317,.516,.765,.574,30.4,1739,3048
155,Terrell Brandon,1995-96,25,CLE,NBA,75,75,34.3,6.8,14.6,5.6,11.5,1.2,3.1,4.5,5.1,0.6,2.7,3.3,6.5,1.8,0.4,1.9,1.9,19.3,.465,.487,.387,.507,.887,.573,25.2,1096,2570
156,Chris Paul,2015-16,30,LAC,NBA,69,69,33.0,7.0,15.2,5.3,10.7,1.7,4.5,4.1,4.5,0.5,3.7,4.2,9.9,2.1,0.2,2.7,2.6,19.8,.460,.497,.372,.515,.895,.573,26.1,1052,2278
157,Brandon Roy,2008-09,24,POR,NBA,78,78,37.2,8.1,16.9,7.1,14.1,1.1,2.8,5.3,6.5,1.3,3.4,4.7,5.1,1.1,0.3,1.9,1.6,22.6,.480,.501,.377,.512,.824,.573,24.0,1318,2903
158,Charles Barkley*,1994-95,31,PHO,NBA,68,66,35.0,8.1,16.8,7.1,13.6,1.1,3.2,5.6,7.5,3.0,8.1,11.1,4.1,1.6,0.7,2.2,3.0,23.0,.486,.521,.338,.518,.748,.572,25.2,1141,2382
159,Julius Erving*,1980-81,30,PHI,NBA,82,,35.0,9.7,18.6,9.6,18.4,0.0,0.2,5.1,6.5,3.0,5.0,8.0,4.4,2.1,1.8,3.2,2.8,24.6,.521,.525,.222,.522,.787,.572,25.1,1524,2874
160,Karl Malone*,2000-01,37,UTA,NBA,81,81,35.7,8.3,16.6,8.2,16.5,0.0,0.1,6.6,8.3,1.4,6.9,8.3,4.5,1.1,0.8,3.0,2.7,23.2,.498,.499,.400,.499,.793,.572,24.7,1345,2895
161,Mark Aguirre,1983-84,24,DAL,NBA,79,79,36.7,11.7,22.3,11.5,21.6,0.2,0.7,5.9,7.9,2.0,3.9,5.9,4.5,1.0,0.3,3.6,3.1,29.5,.524,.532,.268,.528,.749,.572,23.5,1765,2900
162,Dwyane Wade,2012-13,31,MIA,NBA,69,69,34.7,8.2,15.8,8.0,14.9,0.2,1.0,4.5,6.2,1.2,3.7,5.0,5.1,1.9,0.8,2.8,2.0,21.2,.521,.537,.258,.528,.725,.571,24.0,1093,2391
163,Kobe Bryant,2012-13,34,LAL,NBA,78,78,38.6,9.5,20.4,7.8,15.2,1.7,5.2,6.7,8.0,0.8,4.7,5.6,6.0,1.4,0.3,3.7,2.2,27.3,.463,.510,.324,.504,.839,.570,23.0,1595,3013
