PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
"Boris Diaw, SA",74,18.3,0.584,25.1,13.6,16.8,4.9,14.0,9.6,14.21,73.1,2.4
"Mike Scott, ATL",69,15.4,0.570,14.8,8.2,16.8,5.1,14.4,9.9,14.20,42.9,1.4
"Julius Randle, LAL",74,28.1,0.484,10.8,11.8,20.5,7.9,32.0,19.6,14.20,83.6,2.8
"Shabazz Muhammad, MIN",75,20.4,0.534,5.5,8.1,20.4,7.2,11.9,9.6,14.19,84.2,2.8
"Trevor Booker, UTAH",72,20.8,0.524,13.2,14.1,14.1,12.5,20.7,16.6,14.18,59.6,2.0
"Serge Ibaka, OKC",74,32.2,0.537,6.0,10.0,16.6,6.4,16.3,11.6,14.17,95.1,3.2
"Rondae Hollis-Jefferson, BKN",23,21.2,0.541,20.4,14.0,12.3,7.8,22.9,15.3,14.12,26.3,0.9
"Brandon Jennings, DET/ORL",45,18.2,0.492,29.5,9.7,19.8,2.1,10.6,6.2,14.09,37.7,1.3
"Kobe Bryant, LAL",59,28.3,0.464,12.8,8.6,29.6,2.4,12.6,7.4,14.09,89.4,3.0
"Toney Douglas, NO",54,19.1,0.531,22.9,9.0,18.8,2.0,10.2,6.0,14.09,47.4,1.6
"Joakim Noah, CHI",29,21.9,0.406,34.9,16.5,15.1,14.6,27.1,21.0,14.08,32.9,1.1
"Trey Burke, UTAH",64,21.3,0.507,16.5,8.9,24.6,1.5,8.0,4.8,14.08,62.7,2.1
"Michael Carter-Williams, MIL",54,30.5,0.497,26.5,14.4,21.6,3.4,15.6,9.5,14.07,75.6,2.5
"Elfrid Payton, ORL",66,29.3,0.481,31.3,12.2,21.5,4.1,9.6,6.8,14.06,88.3,2.9
"Omri Casspi, SAC",68,27.5,0.589,10.8,10.7,16.7,3.3,20.2,11.8,14.03,98.8,3.3
"Luis Scola, TOR",72,21.9,0.526,8.5,8.8,18.2,6.2,19.0,12.7,14.03,59.5,2.0
"Cameron Payne, OKC",52,11.7,0.507,25.0,9.7,20.2,1.5,12.1,7.1,13.92,26.4,0.9
"D'Angelo Russell, LAL",73,27.6,0.510,17.9,12.7,23.7,2.3,11.2,6.6,13.92,87.8,2.9
"Donald Sloan, BKN",55,21.5,0.540,35.8,11.5,17.1,1.4,14.2,7.7,13.91,51.4,1.7
"Tiago Splitter, ATL",36,16.1,0.571,13.0,10.4,14.4,8.7,13.9,11.4,13.87,28.3,0.9
"Monta Ellis, IND",75,34.3,0.505,22.3,12.2,21.0,1.7,9.1,5.4,13.82,127.4,4.2
"Jeremy Lin, CHA",70,25.9,0.532,18.4,11.8,21.3,2.1,11.2,6.6,13.82,76.3,2.5
"Derrick Rose, CHI",63,31.7,0.482,19.3,10.8,26.8,2.3,8.8,5.6,13.81,83.7,2.8
"Tyler Johnson, MIA",36,24.0,0.579,19.9,11.8,16.4,3.8,10.3,7.2,13.81,42.6,1.4
