Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,MP
263,Dolph Schayes*,1960-61,32,SYR,NBA,79,,38.1,7.5,20.2,7.5,20.2,,,8.6,9.9,,,12.2,3.7,,,,3.7,23.6,.372,.372,,.372,.868,.482,3007
264,Fred Carter,1974-75,29,PHI,NBA,77,,39.6,9.3,20.8,9.3,20.8,,,3.3,4.5,0.9,3.5,4.4,4.4,1.1,0.3,,3.3,21.9,.447,.447,,.447,.738,.482,3046
265,Truck Robinson,1977-78,26,NOJ,NBA,82,,44.4,9.1,20.5,9.1,20.5,,,4.5,7.0,3.6,12.1,15.7,2.1,0.9,1.0,3.7,3.2,22.7,.444,.444,,.444,.640,.481,3638
266,Antoine Walker,1997-98,21,BOS,NBA,82,82,39.9,8.8,20.8,7.7,17.2,1.1,3.6,3.7,5.8,3.3,6.9,10.2,3.3,1.7,0.7,3.6,3.2,22.4,.423,.447,.312,.450,.645,.481,3268
267,Bob Love,1974-75,32,CHI,NBA,61,,39.4,8.8,20.6,8.8,20.6,,,4.3,5.2,1.6,4.7,6.3,1.7,1.0,0.2,,3.4,22.0,.429,.429,,.429,.830,.481,2401
268,Charlie Scott,1974-75,26,PHO,NBA,69,,37.6,10.2,23.1,10.2,23.1,,,4.0,5.1,1.0,2.9,4.0,4.5,1.6,0.3,,4.3,24.3,.441,.441,,.441,.781,.480,2592
269,Willie Naulls,1960-61,26,NYK,NBA,79,,37.7,9.3,21.8,9.3,21.8,,,4.7,5.8,,,13.4,2.4,,,,3.4,23.4,.428,.428,,.428,.816,.480,2976
270,Jack Twyman*,1958-59,24,CIN,NBA,72,,37.7,9.9,23.5,9.9,23.5,,,6.1,7.8,,,9.1,2.9,,,,3.8,25.8,.420,.420,,.420,.783,.479,2713
271,Bob Love,1972-73,30,CHI,NBA,82,,37.0,9.4,21.9,9.4,21.9,,,4.2,5.1,,,6.5,1.5,,,,2.9,23.1,.431,.431,,.431,.824,.479,3033
272,Jamal Mashburn,1995-96,23,DAL,NBA,18,18,37.2,8.1,21.3,6.1,15.6,1.9,5.7,5.4,7.4,2.1,3.3,5.4,2.8,0.8,0.2,3.1,2.2,23.4,.379,.391,.343,.424,.729,.478,669
273,Allen Iverson,2003-04,28,PHI,NBA,48,47,42.5,9.1,23.4,7.9,19.3,1.2,4.1,7.1,9.5,0.7,3.0,3.7,6.8,2.4,0.1,4.4,1.8,26.4,.387,.408,.286,.412,.745,.478,2040
274,Pete Maravich*,1978-79,31,NOJ,NBA,49,,37.2,8.9,21.1,8.9,21.1,,,4.8,5.7,0.7,1.8,2.5,5.0,1.2,0.4,4.1,2.1,22.6,.421,.421,,.421,.841,.478,1824
275,Kobe Bryant,2014-15,36,LAL,NBA,35,35,34.5,7.6,20.4,6.1,15.1,1.5,5.3,5.6,6.9,0.7,4.9,5.7,5.6,1.3,0.2,3.7,1.9,22.3,.373,.401,.293,.411,.813,.477,1207
276,Sidney Wicks,1971-72,22,POR,NBA,82,,39.6,9.6,22.4,9.6,22.4,,,5.4,7.6,,,11.5,4.3,,,,2.3,24.5,.427,.427,,.427,.710,.476,3245
277,Phil Chenier,1973-74,23,CAP,NBA,76,,38.7,9.2,21.1,9.2,21.1,,,3.6,4.4,1.5,3.6,5.1,3.1,2.0,0.9,,1.8,21.9,.434,.434,,.434,.820,.475,2942
278,Gail Goodrich*,1968-69,25,PHO,NBA,81,,40.0,8.9,21.6,8.9,21.6,,,6.1,8.2,,,5.4,6.4,,,,3.1,23.8,.411,.411,,.411,.747,.474,3236
279,Elvin Hayes*,1971-72,26,HOU,NBA,82,,42.2,10.1,23.4,10.1,23.4,,,4.9,7.5,,,14.6,3.3,,,,2.8,25.2,.434,.434,,.434,.649,.471,3461
280,Jo Jo White*,1971-72,25,BOS,NBA,79,,41.3,9.7,22.6,9.7,22.6,,,3.6,4.3,,,5.6,5.3,,,,2.9,23.1,.431,.431,,.431,.831,.471,3261
281,Elvin Hayes*,1973-74,28,CAP,NBA,81,,44.5,8.5,20.1,8.5,20.1,,,4.4,6.1,4.4,13.7,18.1,2.0,1.1,3.0,,3.1,21.4,.423,.423,,.423,.721,.470,3602
282,Willie Naulls,1961-62,27,NYK,NBA,75,,39.7,10.0,24.0,10.0,24.0,,,5.1,6.1,,,11.6,2.6,,,,3.5,25.0,.415,.415,,.415,.842,.470,2978
283,Elvin Hayes*,1970-71,25,SDR,NBA,82,,44.3,11.6,27.0,11.6,27.0,,,5.5,8.2,,,16.6,2.3,,,,2.7,28.7,.428,.428,,.428,.672,.468,3633
284,Michael Jordan*,2001-02,38,WAS,NBA,60,53,34.9,9.2,22.1,9.0,21.2,0.2,0.9,4.4,5.6,0.8,4.8,5.7,5.2,1.4,0.4,2.7,2.0,22.9,.416,.426,.189,.420,.790,.468,2093
285,Austin Carr,1971-72,23,CLE,NBA,43,,35.8,8.9,20.8,8.9,20.8,,,3.5,4.6,,,3.5,3.4,,,,2.3,21.2,.426,.426,,.426,.760,.465,1539
286,Bob Love,1973-74,31,CHI,NBA,82,,40.1,8.9,21.4,8.9,21.4,,,3.9,4.8,2.2,3.8,6.0,1.6,1.0,0.3,,2.7,21.8,.417,.417,,.417,.818,.463,3292
287,Fred Carter,1973-74,28,PHI,NBA,78,,39.0,9.1,21.0,9.1,21.0,,,3.3,4.6,1.1,3.7,4.8,5.7,1.4,0.3,,3.5,21.4,.430,.430,,.430,.709,.463,3044
288,Tom Heinsohn*,1959-60,25,BOS,NBA,75,,32.3,9.0,21.2,9.0,21.2,,,3.8,5.1,,,10.6,2.3,,,,3.7,21.7,.423,.423,,.423,.733,.463,2420
289,Elgin Baylor*,1964-65,30,LAL,NBA,74,,41.3,10.3,25.7,10.3,25.7,,,6.5,8.2,,,12.8,3.8,,,,3.2,27.1,.401,.401,,.401,.792,.463,3056
290,John Havlicek*,1968-69,28,BOS,NBA,82,,38.7,8.4,20.8,8.4,20.8,,,4.7,6.0,,,7.0,5.4,,,,3.0,21.6,.405,.405,,.405,.780,.459,3174
291,George Mikan*,1951-52,27,MNL,NBA,64,,40.2,8.5,22.1,8.5,22.1,,,6.8,8.7,,,13.5,3.0,,,,4.5,23.8,.385,.385,,.385,.780,.459,2572
292,Jamal Mashburn,2003-04,31,NOH,NBA,19,18,38.4,8.2,20.9,7.2,17.4,1.0,3.5,3.4,4.2,1.0,5.2,6.2,2.5,0.7,0.3,1.9,2.2,20.8,.392,.414,.284,.416,.813,.457,730
