Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
6,6,11/6/2015,27-237,GSW,,DEN,W (+15),1,34:39:00,12,22,0.545,8,16,0.5,2,3,0.667,0,7,7,10,3,1,4,1,34,31.4,14
7,7,11/7/2015,27-238,GSW,@,SAC,W (+9),1,39:08:00,8,18,0.444,2,10,0.2,6,7,0.857,1,5,6,3,2,0,6,1,24,14.1,6
8,8,11/9/2015,27-240,GSW,,DET,W (+14),1,36:50:00,7,18,0.389,3,7,0.429,5,6,0.833,1,4,5,5,3,0,5,1,22,14.8,12
9,9,11/11/2015,27-242,GSW,@,MEM,W (+16),1,34:30:00,9,21,0.429,3,10,0.3,7,7,1,0,5,5,5,5,1,4,1,28,23.2,16
10,10,11/12/2015,27-243,GSW,@,MIN,W (+13),1,37:42:00,15,25,0.6,8,13,0.615,8,8,1,0,5,5,4,2,0,3,3,46,36.6,21
11,11,11/14/2015,27-245,GSW,,BRK,W (+8),1,43:44:00,13,31,0.419,5,16,0.313,3,3,1,0,3,3,6,1,0,4,1,34,19.2,3
12,12,11/17/2015,27-248,GSW,,TOR,W (+5),1,39:35:00,13,23,0.565,5,10,0.5,6,7,0.857,0,2,2,9,2,0,7,1,37,27.2,11
13,13,11/19/2015,27-250,GSW,@,LAC,W (+7),1,36:46:00,11,22,0.5,6,14,0.429,12,12,1,0,11,11,4,3,0,7,2,40,30.3,12
14,14,11/20/2015,27-251,GSW,,CHI,W (+12),1,36:05:00,9,20,0.45,3,11,0.273,6,6,1,1,4,5,4,4,0,6,2,27,18.5,11
15,15,11/22/2015,27-253,GSW,@,DEN,W (+13),1,27:37:00,8,16,0.5,3,8,0.375,0,0,,0,4,4,7,3,0,4,0,19,16.1,11
16,16,11/24/2015,27-255,GSW,,LAL,W (+34),1,30:10:00,10,21,0.476,4,12,0.333,0,0,,0,4,4,9,2,0,0,1,24,22.4,36
17,17,11/27/2015,27-258,GSW,@,PHO,W (+19),1,30:39:00,11,20,0.55,9,16,0.563,10,11,0.909,1,5,6,8,2,0,6,2,41,34,27
18,18,11/28/2015,27-259,GSW,,SAC,W (+19),1,29:48:00,4,7,0.571,3,6,0.5,8,8,1,0,4,4,6,3,0,1,1,19,22.7,19
19,19,11/30/2015,27-261,GSW,@,UTA,W (+3),1,37:16:00,9,20,0.45,4,8,0.5,4,4,1,2,4,6,5,2,0,2,2,26,20.9,12
20,20,12/2/2015,27-263,GSW,@,CHO,W (+17),1,30:49:00,14,18,0.778,8,11,0.727,4,4,1,0,3,3,5,0,0,5,2,40,31.6,19
21,21,12/5/2015,27-266,GSW,@,TOR,W (+3),1,37:51:00,14,24,0.583,9,15,0.6,7,9,0.778,1,1,2,7,0,0,3,4,44,33.3,15
22,22,12/6/2015,27-267,GSW,@,BRK,W (+16),1,32:14:00,11,17,0.647,5,9,0.556,1,4,0.25,0,5,5,2,1,0,4,2,28,18.4,10
23,23,12/8/2015,27-269,GSW,@,IND,W (+8),1,35:39:00,11,23,0.478,3,10,0.3,4,6,0.667,0,7,7,10,3,0,4,1,29,24.2,18
24,24,12/11/2015,27-272,GSW,@,BOS,W (+5),1,46:55:00,9,27,0.333,6,13,0.462,14,14,1,3,8,11,8,2,0,8,4,38,25.2,15
25,25,12/12/2015,27-273,GSW,@,MIL,L (-13),1,35:14:00,10,22,0.455,2,9,0.222,6,7,0.857,2,5,7,5,1,0,2,2,28,20.8,0
26,26,12/16/2015,27-277,GSW,,PHO,W (+25),1,29:35:00,10,14,0.714,2,5,0.4,3,5,0.6,0,2,2,7,1,0,3,4,25,20.3,37
27,27,12/18/2015,27-279,GSW,,MIL,W (+9),1,39:20:00,7,14,0.5,2,6,0.333,10,11,0.909,2,8,10,9,2,0,6,2,26,23.9,
28,28,12/23/2015,27-284,GSW,,UTA,W (+18),1,34:13:00,5,14,0.357,2,8,0.25,4,4,1,1,4,5,9,3,0,3,2,16,15.6,22
29,29,12/25/2015,27-286,GSW,,CLE,W (+6),1,36:35:00,6,15,0.4,1,4,0.25,6,6,1,1,6,7,7,2,0,3,3,19,16.1,14
